Timestamp,How large is your organization?,How long have you been using MediaWiki?,How many MediaWiki sites do you manage?,Are your sites public or private?,Approximately how many people are there on your MediaWiki sites?,What MediaWiki Version are you currently using?,Which MediaWiki update cycle is closest to what you use?,"Of the extensions you use, which are your most essential?",Why do you use MediaWiki?,What would you like to see most improved in MediaWiki the software?,What would you like to see most improved in the community around MediaWiki?,Do you make contributions to the MediaWiki community?,"What barriers, if any, do you think exist to participation in the MediaWiki community? What can we do to help?"
7/15/2015 12:41:32,Just Me,5+ years,2-5,Mix of Both,More than 500 people,1.25,Ever major release,"ConfirmEdit + QuestyCaptcha
WikiEditor
Scribunto
Collection
LiquidThreads",Primarily for community engagement and involvement.,"I'd like to see better ""enterprise"" extensions to provide CMS-like functionality such as fine grained access control.  I realize this type of functionality isn't very Wiki-like, but regardless, I get asked for it all the time.",Actually think the community is very healthy.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","If anything, perhaps centralizing the community better.  It feels today like there's so many community corners, such as IRC channels, mailing lists, etc. that the average person doesn't know where to begin."
7/15/2015 15:08:00,Fewer than 25 people,5+ years,2-5,Mix of Both,Fewer than 25 people,"1.21, Older than 1.19",When needed,"DynamicPageList, SyntaxHighlight, WikiEditor, graph extension",,,,,
7/15/2015 15:21:51,Fewer than 25 people,5+ years,2-5,Mix of Both,100-500 people,"1.25, 1.23 (Current LTS)",Every security release,HotCat,,,,,
7/15/2015 16:00:52,Just Me,1-2 years,2-5,Mix of Both,Fewer than 25 people,1.22,When needed,"CategoryTree, Interwiki ",To store my online notebook...,,,I'm merely an observer,
7/15/2015 16:28:52,Fewer than 25 people,5+ years,2-5,Mix of Both,More than 500 people,"Latest development build (master, 1.26+, WMF builds), 1.21",Every minor point release,"Translate, UniversalLanguageSelector, TwnMainPage, SemanticMediaWiki, SemanticMaps","Closely related to wikimedia, we use a convenient and extensible platform called MediaWiki for a crowd sourced translation website","Extension discovery, installation and configuration","Improved connectivity between users. We are making a lot of effort to connect developers, but have never managed to empower the tens of thousands of wiki administrators. This might also boost the number of contributors.","I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",Sorry out of time
7/15/2015 16:51:14,25-100 people,3-5 years,More than 10,Public,More than 500 people,1.23 (Current LTS),Ever major release,"AbuseFilter, AntiBot, AntiSpoof, ConfirmEdit, CategoryTree, Cite, DPL3.0, EmbedVideo, Interwiki, MobileFrontend, MsUpload, Nuke, ParserFunctions, Poem, RSSPie, SemanticMediawiki, SpamBlacklist, StringFunctions, TitleBlacklist, Variables, VisualEditor, WikiEditor, Elastica, CirrusSearch, Echo, Ton of homegrown extensions.",We house the largest gaming wiki community. ,The main mediawiki parser and job system.,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions",
7/15/2015 17:00:35,100-500 people,5+ years,More than 10,Public,More than 500 people,1.23 (Current LTS),Every security release,"SemanticMediawiki, DynamicPageList, EmbedVideo, MsUpload, SpriteSheet",To host a wiki farm of gaming content comprised of 900+ individual wikis.,Overall Redis support to eventually replace Memcache.,People being super picky about commit message formatting in Gerrit.  It is 2015.  This is why word wrap exists.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions",
7/15/2015 17:08:43,More than 500 people,5+ years,More than 10,Public,More than 500 people,1.25,Ever major release,"ParserFunctions, DebugTemplates, MsUpload, Tabber, SlideBoxLightShow, AjaxPoll",because i make wikis,"less favouritism for wikia
better performance",see above,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions",
7/15/2015 17:59:13,Fewer than 25 people,5+ years,5-10,Public,100-500 people,1.23 (Current LTS),Every security release,"Collection,Widgets,Gadgets,VisualEditor,WEnotes,Liquid Threads","clear attribution of collaboration (version control system for educators), ease of reuse of text data
",image upload and licensing within page authoring workflow,,"I contribute feedback and bug reports, I contribute to extensions",
7/15/2015 21:35:37,More than 500 people,3-5 years,5-10,Mix of Both,100-500 people,"Latest development build (master, 1.26+, WMF builds), 1.25, 1.23 (Current LTS)",Ever major release,"Semantic MediaWiki, Semantic Result Formats, Semantic Forms, Cite, Parser Functions, Wiki Editor (VE soon) WatchAnalytics, Approved Revs",To bring order to massive amounts of rapidly changing knowledge.,Per-category and/or per-namespace access control,Does anyone use vanilla MW? The MW download page should encourage certain standardized builds of MW+extensions. ,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions",There are a lot of communication channels 
7/15/2015 23:42:10,More than 500 people,3-5 years,2-5,Mix of Both,More than 500 people,"1.23 (Current LTS), Older than 1.19",Every security release,"Arrays
LdapAuthentication
ParserFunctions
Scribunto
SemanticForms
SemanticMediaWiki and all of its dependencies
Variables
WikiEditor",easy of access for users and editors. wide range of possibilities due to semanticmediawiki.,"the ui. haven't tries other skins yet, though.",group of devs seem a rather closed up group. questions regarding development issues get seldom answered,"I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support",getting in is a rather tedious process. people already in the community knw each other and - most of the time - don't see the necessity to include new people.
7/16/2015 1:36:40,Fewer than 25 people,5+ years,More than 10,Mix of Both,25-100 people,"1.24, 1.23 (Current LTS), 1.21",When needed,"BlueSpice, Semantic MediaWiki, Echo, Cite, FlaggedRevs",,"Templating system, restructuration of skin system",,I help answer questions and provide support,
7/16/2015 3:20:19,Fewer than 25 people,5+ years,More than 10,Mix of Both,25-100 people,"1.25, 1.23 (Current LTS)",Ever major release,"Semantic MediaWiki, Semantic Result Formats, Semantic Forms, Chameleon, HeaderTabs, Semantic Internal Objects, Wikieditor, Semantic Comments, Semantic Maps","Open Source with large community, very stable, many extensions, great wiki engine, especially great in combination with Semantic MediaWiki",Access Control,Semantic MediaWiki and related extensions,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support, Organise SMWCon, do promotion and marketing",
7/16/2015 3:24:51,Fewer than 25 people,5+ years,More than 10,Mix of Both,100-500 people,"Latest development build (master, 1.26+, WMF builds), 1.24, 1.23 (Current LTS)",Every security release,"AbuseFilter
CentralAuth
SpamBlacklist
TorBlock
GlobalBlocking","To host the Orain farm
To develop on","Releases & Versions
Amazing extension management
Improved robustness of i18n caching",,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support",
7/16/2015 3:57:44,More than 500 people,5+ years,2-5,Public,Fewer than 25 people,"OS Packaged version (e.g. Debian, Redhat)","OS Packaged version (e.g. Debian, Redhat)","Semantic MediaWiki, Cite, Graphvix, ParserFunctions, SimpleTable, SyntaxHighlight, OpenStreetMap Simple Map, CategoryTree, Replace Text, and a number of others particularly SemMediaWiki extensions such as Semantic Forms, Semantic Internal Objects, Semantic Compound Queries.","Because
- I am familiar with it from Wikipedia
- The editing is straigtforward
- template and semwiki functionality
- Good developer environment","Better ability to handle data that can be used for further scientific data mining:

Ability to display (and format) and edit table-like data, eg., handle cvs like data.
Representation of units in Wikidata (wikibase)

",,,Learning PHP and MediaWiki PHP
7/16/2015 7:34:31,100-500 people,1-2 years,More than 10,Private,100-500 people,1.21,When needed,bluespice,Intranet solution,Support of Oracle database,,,
7/16/2015 7:36:41,More than 500 people,5+ years,2-5,Mix of Both,Fewer than 25 people,"1.23 (Current LTS), Older than 1.19",When needed,"ContactPage, Cite, WikiEditor, that's it, I don't use 5 extensions.","Website, internal documentation","automatic update (click on a button, ala dokuwiki)",,"I help with documentation, I contribute patches and bug fixes, I help answer questions and provide support, some edits on mediawiki.org",
7/16/2015 7:53:38,More than 500 people,5+ years,2-5,Mix of Both,100-500 people,1.24,Every security release,"CategoryTree, SimpleFeed, Cite, SyntaxHighlight, Gadgets, Gadgets, PCR GUI Inserts",Best Wiki Software,"email-Bouncer, Installation Part of the Visual Editor, Possibility to include different links in the side bar depending on the user lanuage

and as a (small) extension developer: a tool or any log to recognize that api calls are deprecated and how to replace them.","dunno

better, more centralized extension, ""app store"". hard to find some extensions and hard to guess if extensions still work with the latest mw versions when they are very old.
",I contribute to extensions,easier pushing existing very old extensions to git/gerrit
7/16/2015 8:19:00,More than 500 people,5+ years,More than 10,Private,More than 500 people,"1.24, 1.23 (Current LTS)",Every security release,"Semantic MediaWiki, Semantic Bundle, Arrays, Category Tree, External Data","Best in class collaborative document writing. 
Semantic capability.
Easy website set-up. ","Extension deployment&configuration through admin panel.
Wiki farm management portal.
SSO for wiki farms.
","The design is looking a little dated, but otherwise it's familiar and useful.",I contribute to extensions,"Knowing good ways to help. I know there are resources, but they could be more prominent. "
7/16/2015 8:28:57,More than 500 people,5+ years,1,Private,25-100 people,1.23 (Current LTS),Every security release,"CategoryTree
Collection
Math
PDF Handler
TimedMediaHandler",manuals and info,,,,
7/16/2015 8:53:16,25-100 people,3-5 years,1,Public,25-100 people,1.23 (Current LTS),When needed,"We're hoping to add about 30 extensions in the coming months - something well overdue. As of now, the most valuable are MATH, Interwiki, and Google Analytics. ",We wanted to replicate the Wikipedia experience with our wiki. ,"Ease of installation of extensions has improved, but a more seamless installation process would be appreciated for me and my team",I'd love to see the Wikimedia Foundation engage the MediaWiki community - specifically the enterprise group of MediaWiki users. I think that rich exchange could be mutually beneficial. ,"I contribute feedback and bug reports, I contribute to extensions","Outside of the software, it can hard to be new to any group, so that perceived barrier is probably the largest for newcomers. I know it was for me and my team. Especially since we come from a community building background, as opposed to a coding or computing background. That said, now that I feel part of the community, I feel the community is warm and welcoming.  "
7/16/2015 9:34:22,100-500 people,3-5 years,1,Private,25-100 people,1.21,When needed,"Vector, Cite, Wikieditor, ParserFunctions, Lockdown, Multiupload, LaunchExternal, Add Article to Category, ImageMap, DynamicPageList, CategoryTree, MsCalendar","it's perfect for our company, a lot of extensions, a big community","at the moment it does everything it has to, we are used to it",,I help answer questions and provide support,"newbies should be taken seriously, sometimes I miss that, "
7/16/2015 9:35:33,100-500 people,3-5 years,More than 10,Public,More than 500 people,1.23 (Current LTS),Every security release,"Interwiki, SemanticMediaWiki, DPL (DPL3), MobileFrontend, Various proprietary extensions",Our business is a gaming wiki farm. Mediawiki is by far the best choice of software for our purposes since it is the dominant wiki platform. ,You would have to ask my dev team :-),,,
7/16/2015 9:48:35,25-100 people,1-2 years,1,Public,Fewer than 25 people,1.23 (Current LTS),When needed,"CategoryIndex, Cite, Math, ParserFunctions, Google Analytics Integration","Started because of my job, and now I see the value in the software.","It is difficult for beginners to learn about the software, especially if they have no formal training in code and the like. The documentation assumes a lot of the users have prior knowledge.",More awareness and support on each other hosting MediaWiki sites. EnterpriseMediaWiki and the GitHub page are good starts.,"I help answer questions and provide support, I would like to gain the knowledge to support code and patches.","Tough for beginners to break-in. Always the feedback we get from contributors at our site. And as an admin of a wiki, it is hard learning how run the site properly. Even our IT staff has a difficult time administering the wiki."
7/16/2015 9:53:06,Fewer than 25 people,5+ years,2-5,Mix of Both,Just me,"1.24, 1.21, Older than 1.19",When needed,"BlueSpice, Mpdf, Lockdown, Cargo, PDF Handler, Upload Manager, Mobile Frontend","many options ( Extensions), free, possible to add own Extensions",PDF Export,,,
7/16/2015 10:22:48,Fewer than 25 people,3-5 years,1,Public,More than 500 people,1.23 (Current LTS),When needed,"Custom built extension for offline xml viewing.  Other import extensions are authorship contributions, RSS, and Cite. Would like to use VIsual editor but request it be pulled out of beta if stable and improve ease of install.",Collaberative knowledge and information organization tool,Improvement of extension manager and install similar to wordpress.  Also improved sandboxing of extensions to not alter core install also similar to wordpress. ,Dedicated software team separated from wikipedia so that the nonprofit foundation unctions separately. Right now improvements to software seem highly tied to wikipedia and ideally the software should exist similarly to the wordpress setup with a .org and a .com (one maintained open source and one maintaining wikipedia).  Hopefully this would allow for greater software development for the growing distributed install based of mediawiki based sites so we feel more apart of a software community even though we don't have content on wikipedia.,Offline extension to be contributed in the future once stable.,"Software development seems highly tied to Wikipedia. We would like to contribute more to software development but there is no software grants available for us to improve core and extensions to the project. 
https://meta.wikimedia.org/wiki/Grants:PEG/Offline_MediaWiki_search_for_NASA_and_Medicine 

Lots of community development grants but the software has so much potential it would be good to allow the disparate groups to be brought into the fold (ie. SemanticMediawWiki)"
7/16/2015 11:02:34,100-500 people,1-2 years,1,Public,Fewer than 25 people,1.2,When needed,"moderation
widgets
ads
MathJax
Video",The perfect platform for our needs (PetroWiki),auto multi languages,,,Need a beginners group or new to mediwiki group.
7/16/2015 12:24:39,Fewer than 25 people,5+ years,More than 10,Mix of Both,100-500 people,"1.25, 1.24, Older than 1.19",Ever major release,SMW and all related extensions,"user interface, application transparency and user control
translation of multilingual content
excellent support by WMF",Visual Editor installable/customized widgets,github/gerrit installation and use,"I contribute feedback and bug reports, I help with documentation, I contribute to extensions, I help answer questions and provide support",perform surveys using SemForms not Google
7/16/2015 12:32:20,Fewer than 25 people,5+ years,1,Private,100-500 people,1.23 (Current LTS),When needed,"ProofreadPage, Confirm User Accounts, Replace Text, User Merge and Delete, ParserFunctions, CategoryTree, PagedTiffHandler, PDF Handler, WikiEditor",Because it's a part of the job.,"Wiki Editor, with a lot of features nearly like Word.",,"I contribute feedback and bug reports, I help with documentation",
7/16/2015 13:24:58,100-500 people,5+ years,2-5,Public,Just me,Older than 1.19,When needed,"SQL2Wiki (heavily customized), pChart4mw, ParserFunctions, Graphviz, SimpleTable, mwCalendar, DynamicPageList2, MpDisqus, EmbedPDF, RandomImage","Collaborative authoring potential, ease of content entry and editing, easy integration with other tools, fostering the perception of an open system (even though few choose to take part)","Better/easier image management -- the upload/link procedure is a bit tedious.
Easier justification for keeping current -- it's not clear why I should suffer the inevitable pain of changing versions.
","""Extension champions"" to counter the ""extension nazis"" who seem to delete every extension I find essential at some point!","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support","Some sort of incentives for keeping up and participating. I'm not talking financial, I just often fail to see the benefits of upgrading and/or participating. It would be good to see some tutorials for doing things like upgrading old tag-style extensions to first-class parser functions, for example. (I've started to upgrade one extension about three times, and get blocked on ""what's next..."")"
7/16/2015 14:06:36,Fewer than 25 people,5+ years,2-5,Public,25-100 people,1.23 (Current LTS),When needed,"Semantic Forms,Cargo,ParserFunctions,Confirm Edit,Admin Links",I like wikis.,Better support for limiting read-access.,It would be good to have a MediaWiki conference.,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute to extensions, I help answer questions and provide support, I write books about it",No idea.
7/16/2015 14:43:21,Just Me,5+ years,2-5,Mix of Both,25-100 people,"1.25, 1.23 (Current LTS), 1.19",Ever major release,"MultipleUpload,CategoryTree,Cite,ParserFunctions,Poem,Abuse Filter,ImageMap",Is the software that runs wikipedia and is pretty well maintained and active,,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support, Pywikibot",
7/16/2015 16:23:38,Just Me,Less than 6 months,More than 10,Mix of Both,Just me,1.25,Every security release,"Cite, ContactPage, SecurePages, Gadgets, EmailForm",I need to be able to do fast updates to web site content. ,Easier automated updating,N/A,I contribute feedback and bug reports,None that I am aware of.
7/16/2015 17:04:23,More than 500 people,3-5 years,5-10,Private,More than 500 people,1.23 (Current LTS),When needed,"Simple Security, Approved Revs, CategoryTree, Social Profile, DynamicSidebar","Document repository for internal corporate handbooks. We wanted something that is familiar, easy to use, and has a good search.","We are currently limited to a specific browser (Internet Explorer) - although our IT is finally approving alternatives in coming months. I would love to see VisualEditor more mature and with a built-in spellcheck - and working for IE. I would also like to see better support for the LTS versions - it seems like VisualEditor development moves forward with the newest updates to core, but they don't always get back-ported to the LTS version in a timely manner.","I would like to see better participation in IRC. I have asked questions at times and received great response. Other times, no reply at all. It's also confusing to be directed to another channel (like VisualEditor), but then have no voice privilege there to ask a question.","I contribute feedback and bug reports, I contribute to extensions, I help answer questions and provide support","The GIT / Labs process is very confusing and there is conflicting information in the documentation. I started the process 3 different times before finally completing it, and I had to ask for support as my account didn't get created properly."
7/16/2015 17:30:00,Fewer than 25 people,5+ years,2-5,Public,Fewer than 25 people,"1.25, 1.19",When needed,"Semantic wiki, semantic forms, semantic forms inputs, wikilog, arrays, parser functions, gadgets, wikieditor","I use media wiki for text RPG games, where we house game information and records of roleplay.",I pretty much love it as is. ,,I contribute feedback and bug reports,"I don't know - I love mediawiki, but I don't have the knowledge or time to participate in the broader community really. "
7/16/2015 19:06:28,25-100 people,5+ years,More than 10,Public,More than 500 people,"Latest development build (master, 1.26+, WMF builds)",Every minor point release,"Wikibase, Cite, Scribunto, ParserFunctions, WikiEditor, CharInsert, Gadgets",As a platform for almost everything.,Multi part content.,Have a plan.,"I contribute feedback and bug reports, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions","Faster, more active code review."
7/16/2015 22:50:33,More than 500 people,3-5 years,2-5,Public,25-100 people,"1.24, Older than 1.19",When needed,"PonyDocs,Blacklist,SkinPerPage",We run our customer-facing documentation site on MediaWiki and the PonyDocs extension. We chose MW for documentation because we wanted to enable every employee to edit documentation.,,,I contribute to extensions,
7/16/2015 23:10:02,Not sure,1-2 years,2-5,Public,More than 500 people,"Latest development build (master, 1.26+, WMF builds)",Every minor point release,"Scribunto,TemplateSandbox,ParserFunctions,FlaggedRevs,CheckUser,ApiSandbox,CentralAuth",,,,"I contribute feedback and bug reports, I help with documentation, I contribute patches and bug fixes, I contribute code to MediaWiki core, I contribute to extensions, I help answer questions and provide support","From a developer's perspective, some patches take an extremely long time (I've had patches go over a year) to be reviewed."
